name,version,type,licenses,supplier,properties
windows_i686_msvc,0.36.1,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 727e5ee4-4bce-4d41-9f96-a66817877b05, BlackDuck-ComponentVersion: c0fe563a-da43-4b55-8a3c-52bc70888526, BlackDuck-ComponentOrigin: e47d1afb-8b4a-44ab-84ff-941c5a419d95"
windows_i686_msvc,0.42.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 727e5ee4-4bce-4d41-9f96-a66817877b05, BlackDuck-ComponentVersion: ae97ee7f-a4bf-4fe1-bfdf-d520f03c240d, BlackDuck-ComponentOrigin: 2815f41e-e454-46fa-805f-b51b43320d51"
windows-sys,0.34.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: a453e26d-b7bf-4f49-b761-df8e044dba73, BlackDuck-ComponentVersion: 531a26a7-2e8c-4541-be91-4da60167a25f, BlackDuck-ComponentOrigin: 83f1a136-410a-4527-b2a7-daa290ca409c"
windows-sys,0.36.1,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: a453e26d-b7bf-4f49-b761-df8e044dba73, BlackDuck-ComponentVersion: 1d8fa795-a799-40ba-8c0b-baf519011f9c, BlackDuck-ComponentOrigin: c853be0a-1691-4fd1-b8dd-2f5fac101a6a"
windows-sys,0.42.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: a453e26d-b7bf-4f49-b761-df8e044dba73, BlackDuck-ComponentVersion: 1ecb788c-7dd0-4ad9-bfa5-9c80fc3970db, BlackDuck-ComponentOrigin: 64678838-77b2-49f9-bc46-13242816a9b2"
windows_x86_64_gnu,0.34.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 75e1a6a4-cb03-47af-887b-12c3479df924, BlackDuck-ComponentVersion: 4245aad5-2c3e-4e7d-b88e-e6d294162be0, BlackDuck-ComponentOrigin: a592ae77-8b10-4e43-870e-1e639c29ae08"
windows_x86_64_gnu,0.36.1,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 75e1a6a4-cb03-47af-887b-12c3479df924, BlackDuck-ComponentVersion: 8058fce3-f79e-428c-9a01-3fd126edd911, BlackDuck-ComponentOrigin: fe96107d-ab33-4303-b1af-2fe800c792d6"
windows_x86_64_gnu,0.42.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 75e1a6a4-cb03-47af-887b-12c3479df924, BlackDuck-ComponentVersion: 3cf754ab-54d7-4dd7-96dc-9f9a8295689c, BlackDuck-ComponentOrigin: 84a14ef2-0ca4-4d4c-b49c-2edfae97ed9f"
windows_x86_64_gnullvm,0.42.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: b7e6e644-1eb2-4c8d-a33c-b992a5992927, BlackDuck-ComponentVersion: dee5ac50-28d0-4031-b102-2fed317b64b6, BlackDuck-ComponentOrigin: 65bdfca4-89f7-4ae5-9998-dbc814660835"
windows_x86_64_msvc,0.34.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 621ca361-475a-4726-b58c-7f2f68ebaf09, BlackDuck-ComponentVersion: a641b103-e26f-4b10-89ed-b8e483ccd30c, BlackDuck-ComponentOrigin: 9f6cf478-e48b-46d6-943f-1baa5467498b"
windows_x86_64_msvc,0.36.1,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 621ca361-475a-4726-b58c-7f2f68ebaf09, BlackDuck-ComponentVersion: 63b7418f-544e-4e50-bd60-1aa30ef66c75, BlackDuck-ComponentOrigin: 71202e2f-243d-41cb-a99e-ebcc5ef8d041"
windows_x86_64_msvc,0.42.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 621ca361-475a-4726-b58c-7f2f68ebaf09, BlackDuck-ComponentVersion: 95ae2712-ab48-4b5f-9b82-cc7777e597a7, BlackDuck-ComponentOrigin: cd960d3c-fa64-4b4e-9020-b18b1fb2da59"
ws_stream_tungstenite,0.7.0,library,Unlicense,Organization: crates,"BlackDuck-Component: 8fc7606a-ddf5-4ea5-ab15-e83ceff2eedd, BlackDuck-ComponentVersion: 269c3720-08f0-4963-bd9a-b0ab3b268180, BlackDuck-ComponentOrigin: 2382d9bb-495c-4c3d-9189-102f21da61a1"
zeroize,1.5.7,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 676178fb-9da6-4c07-80fb-92087749ab1c, BlackDuck-ComponentVersion: 1b510986-c6f9-40c7-8161-18b6eec9fc3f, BlackDuck-ComponentOrigin: 33d3d19c-0c92-4b3b-b058-1103b40b13df"
zeroize_derive,1.3.2,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 0f9752c6-fbe3-4b6e-a207-6b7c11276ad8, BlackDuck-ComponentVersion: 9dee2a36-89f0-4454-a14e-ecb97fce5eb0, BlackDuck-ComponentOrigin: 5d02a30d-f642-454e-b0b2-c9919a6b51e4"
zip,0.6.3,library,MIT,Organization: crates,"BlackDuck-Component: ff0ecd0f-8ba5-49b5-a3e9-cba748baa5ca, BlackDuck-ComponentVersion: 96b70713-55ef-4cc6-a99c-a216a2404ec2, BlackDuck-ComponentOrigin: d3eec05b-5f0c-4f38-a7bd-64c8755014db"
zlib,1.2.11,library,Zlib,"","BlackDuck-Component: b9185555-6e31-401e-b373-bfec7955a8ab, BlackDuck-ComponentVersion: a41b9c29-da5e-4333-b683-385f278a6afc"
zlib,1.2.3,library,Zlib,Organization: github,"BlackDuck-Component: b9185555-6e31-401e-b373-bfec7955a8ab, BlackDuck-ComponentVersion: 003c7e38-c007-44fa-bb7f-e1f2c3c0a1c5, BlackDuck-ComponentOrigin: b3338e89-13c1-4804-bbdc-1e5f6a0d724d"
zlib,1.2.8,library,Zlib,"","BlackDuck-Component: b9185555-6e31-401e-b373-bfec7955a8ab, BlackDuck-ComponentVersion: d13379f4-f49b-4f33-9951-2f883fbed762"
